hanyu,pinyin,mean
欢迎,huānyíng,welcome
小孩,xiǎohái,Child
小时,xiǎoshí,Hour
中国人,zhōngguórén,Chinese
显示,xiǎnshì,show
中共,zhōnggòng,Communist Party of China
出,chū,out
男人,nánrén,man
避免,bìmiǎn,avoid
属于,shǔyū,belong
实施,shíshī,implement
声音,shēngyīn,sound
主义,zhǔyì,doctrine
行动,xíngdòng,action
不可,bùkě,No
只有,zhǐyǒu,only
校园,xiàoyuán,campus
兴趣,xìngqù,interest
山,shān,Mountain
表现,biǎoxiàn,Performance
得,dé,have to
回来,huílái,return
主任,zhǔrèn,director
里面,lǐmiàn,in
经常,jīngcháng,often
不再,búzài,no longer
电子,diànzǐ,electronic
受,shòu,by
思想,sīxiǎng,Thought
头,tóu,head
终于,zhōngyū,finally
谢谢,xièxiè,Thanks
协助,xiézhù,assist
除,chú,remove
当地,dāngdì,local
正式,zhèngshì,formal
真正,zhēnzhèng,real
低,dī,Low
性,xìng,sex
份,fèn,share
因素,yīnsù,factor
推出,tuīchū,roll out
上,shàng,superior
价格,jiàgé,price
去,qù,go
认识,rènshì,know
方向,fāngxiàng,direction
责任,zérèn,responsibility
说明,shuōmíng,illustrate
工业,gōngyè,industry
大量,dàliàng,A lot
做,zuò,Do
逐渐,zhújiàn,gradually
心理,xīnlǐ,psychology
一点,yīdiǎn,a little
供,gōng,for
须,xū,Must
简单,jiǎndān,Simple
运用,yùnyòng,use
观察,guānchá,observe
往往,wǎngwǎng,often
规划,guīhuà,planning
减少,jiǎnshǎo,reduce
重新,chóngxīn,again
业务,yèwù,business
报导,bàodǎo,report
仍然,réngrán,still
感到,gǎndào,feel
开放,kāifàng,open
领域,lǐngyū,field
有效,yǒuxiào,efficient
女,nǔ,female
要,yào,want
从事,cóngshì,engage in
发挥,fāhuī,play
人才,réncái,Talent
反而,fǎnér,instead
行政,xíngzhèng,administrative
银行,yínháng,bank
公共,gōnggòng,public
媒体,méitǐ,media
提高,tígāo,improve
代,dài,generation
自然,zìrán,nature
社区,shèqū,Community
力量,lìliàng,strength
啊,ā,ah
教育部,jiàoyūbù,Ministry of Education
愈,yū,heal
超过,chāoguò,Exceed
维持,wéichí,maintain
家长,jiāzhǎng,parents
结合,jiéhé,combine
校长,xiàozhǎng,headmaster
通常,tōngcháng,generally
缺乏,quēfá,lack
委员,wěiyuán,member
特色,tèsè,feature
结果,jiéguǒ,result
有时,yǒushí,sometimes
教师,jiàoshī,teacher
之前,zhīqián,Before
远,yuǎn,Far
控制,kòngzhì,control
本,běn,Book
否则,fǒuzé,otherwise
法,fǎ,Law
少,shǎo,few
原则,yuánzé,in principle
要,yào,want
脸,liǎn,Face
通过,tōngguò,pass
建议,jiànyì,suggestion
工具,gōngjù,tool
作业,zuòyè,Operation
达,dá,reach
节目,jiémù,programme
智慧,zhìhuì,wisdom
来自,láizì,from
而,ér,and
变化,biànhuà,change
同样,tóngyàng,same
形式,xíngshì,form
站,zhàn,stand
以为,yǐwéi,Think
健康,jiànkāng,healthy
担任,dānrèn,take charge of
人口,rénkǒu,population
规划,guīhuà,planning
刚,gāng,Just
特殊,tèshū,special
原来,yuánlái,turn out to be
道,dào,road
分,fēn,point
传统,chuántǒng,Tradition
总是,zǒngshì,always
前往,qiánwǎng,Go to
投资,tóuzī,invest
加强,jiāqiáng,strengthen
不断,búduàn,constantly
对象,duìxiàng,object
追求,zhuīqiú,Pursue
加上,jiāshàng,plus
比,bǐ,Compare
思考,sīkǎo,think
制作,zhìzuò,make
台北市,táiběishì,Taipei City
取得,qǔdé,obtain
出来,chūlái,come out
加入,jiārù,join in
台,tái,tower
安排,ānpái,arrange
儿童,értóng,child
国中,guózhōng,junior high school
范围,fànwéi,scope
老人,lǎorén,elder
双方,shuāngfāng,both sides
牠,tā,it
北京,běijīng,Beijing
年轻,niánqīng,young
结束,jiéshù,Finish
教,jiāo,teach
程式,chéngshì,program
妇女,fùnǔ,women
找到,zhǎodào,turn up
彼此,bǐcǐ,each other
全球,quánqiú,worldwide
成本,chéngběn,cost
回到,huídào,return to
部,bù,department
而已,éryǐ,That's all
之下,zhīxià,under
等,děng,wait
变,biàn,Change
期间,qíjiān,period
非,fēi,No
小姐,xiǎojiě,Miss
整体,zhěngtǐ,overall
采用,cǎiyòng,use
根本,gēnběn,fundamental
叫,jiào,Call
欧洲,ōuzhōu,Europe
正在,zhèngzài,are
加以,jiāyǐ,add
充满,chōngmǎn,full
系列,xìliè,series
随着,suízhe,along with
早,zǎo,morning
等等,děngděng,etc.
颇,pǒ,quite
不足,bùzú,insufficient
总,zǒng,total
深,shēn,deep
报告,bàogào,Report
不错,búcuò,good
在于,zàiyū,lies in
旁,páng,beside
笑,xiào,laugh
故,gù,Therefore
消费者,xiāofèizhě,consumer
意识,yìshì,consciousness
公尺,gōngchǐ,meter
民族,mínzú,nationality
为主,wéizhǔ,Mainly
大众,dàzhòng,public
到底,dàodǐ,in the end
愿,yuàn,willing
度,dù,Spend
大概,dàgài,perhaps
对方,duìfāng,other side
官员,guānyuán,official
发表,fābiǎo,publish
进一步,jìnyībù,further
自由,zìyóu,free
正确,zhèngquè,correct
丰富,fēngfù,Rich
国民党,guómíndǎng,Kuomintang
战争,zhànzhēng,war
怎么样,zěnmeyàng,How about it
只好,zhǐhǎo,Had to
明显,míngxiǎn,obvious
改革,gǎigé,reform
表达,biǎodá,Express
肯定,kěndìng,affim
强,qiáng,powerful
高兴,gāoxìng,Happy
哪,nǎ,where
树,shù,Tree
适合,shìhé,Suitable
茶,chá,Tea
别,bié,Don't
国外,guówài,foreign
关心,guānxīn,care
苏联,sūlián,Soviet Union
成绩,chéngjī,score
人物,rénwù,figure
听到,tīngdào,hear
创造,chuàngzào,create
不必,búbì,No need
不论,búlùn,whether
尚,shàng,still
居民,jūmín,resident
不管,bùguǎn,in spite of
美丽,měilì,beauty
伊拉克,yīlākè,Iraq
带来,dàilái,bring
有,yǒu,have
般,bān,general
永远,yǒngyuǎn,forever
感情,gǎnqíng,emotion
儿子,érzi,son
这样子,zhèyàngzi,Like this
起,qǐ,rise
全部,quánbù,all
